topic,emotion,mean
"reelection, media, state_capture",Enthusiasm,0.49602114703810624
"reelection, media, state_capture",Fear,0.13832825483333333
"reelection, media, state_capture",Hope,0.10011657126267606
"reelection, media, state_capture",Joy,0.15455197530673076
"reelection, media, state_capture",None of Them,0.13489001192857142
"reelection, media, state_capture",None of them,0.6951905706971154
"reelection, media, state_capture",Pride,0.13151494531641025
"reelection, media, state_capture",Sadness,0.07194350423454546
"reelection, promotions",Anger,0.26858178738829785
"reelection, promotions",Disgust,0.09918733717647059
"reelection, promotions",Enthusiasm,0.12150367449279732
"reelection, promotions",Fear,0.1613186467763158
"reelection, promotions",Hope,0.13645156280533088
"reelection, promotions",Joy,0.18691856670044643
"reelection, promotions",None of them,0.5910332743372515
"reelection, promotions",Pride,0.19179838737254903
"reelection, promotions",Sadness,0.09093235525192307
"reelection, safety, state_capture",Anger,0.27597301294090637
"reelection, safety, state_capture",Disgust,0.08141553641666667
"reelection, safety, state_capture",Enthusiasm,0.5821925219256654
"reelection, safety, state_capture",Fear,0.1222292805
"reelection, safety, state_capture",Hope,0.12379326424559585
"reelection, safety, state_capture",Joy,0.14894665753658537
"reelection, safety, state_capture",None of Them,0.19072134681764705
"reelection, safety, state_capture",Pride,0.12620636409535865
"reelection, safety, state_capture",Sadness,0.058044143566666664
"reelection, state_capture",Anger,0.3328781291281726
"reelection, state_capture",Disgust,0.0649949866
"reelection, state_capture",Enthusiasm,0.5511113465178654
"reelection, state_capture",Fear,0.16020021544936708
"reelection, state_capture",Hope,0.08900240788793774
"reelection, state_capture",Joy,0.2602262084065657
"reelection, state_capture",None of Them,0.21368244322166666
"reelection, state_capture",Pride,0.11686949354594595
"reelection, state_capture",Sadness,0.08953788394842767
referendum,Anger,0.3112604065470322
referendum,Disgust,0.08724413715340909
referendum,Enthusiasm,0.5440744406882255
referendum,Fear,0.1507672721911111
referendum,Hope,0.0918615403539007
referendum,Joy,0.13482976360791507
referendum,None of Them,0.18622380160704224
referendum,None of them,0.62421212062606235
referendum,Pride,0.10508217559961686
referendum,Sadness,0.07929362982112333
"referendum, ecuador, reelection, state_capture",Anger,0.3620457932159091
"referendum, ecuador, reelection, state_capture",Disgust,0.16826069000000002
"referendum, ecuador, reelection, state_capture",Enthusiasm,0.5718117493935484
"referendum, ecuador, reelection, state_capture",Fear,0.2353942598888889
"referendum, ecuador, reelection, state_capture",Hope,0.08963652024590164
"referendum, ecuador, reelection, state_capture",Joy,0.2354320705
"referendum, ecuador, reelection, state_capture",None of Them,0.15267088533333334
"referendum, ecuador, reelection, state_capture",Pride,0.10305661149305556
"referendum, ecuador, reelection, state_capture",Sadness,0.07378502782
"referendum, ecuador, state_capture",Anger,0.20946130726324785
"referendum, ecuador, state_capture",Disgust,0.190226018
"referendum, ecuador, state_capture",Enthusiasm,0.11253594323531353
"referendum, ecuador, state_capture",Fear,0.1933796179032258
"referendum, ecuador, state_capture",Hope,0.11835783753256705
"referendum, ecuador, state_capture",Joy,0.09892376245692308
"referendum, ecuador, state_capture",None of them,0.62421212062606235
"referendum, ecuador, state_capture",Pride,0.1709512321625
"referendum, ecuador, state_capture",Sadness,0.13078285223717948
"referendum, municipal98, media",Anger,0.16470515101290323
"referendum, municipal98, media",Disgust,0.07845333500000001
"referendum, municipal98, media",Enthusiasm,0.7338209641433121
"referendum, municipal98, media",Fear,0.09001646427272728
"referendum, municipal98, media",Hope,0.0639134567617801
"referendum, municipal98, media",Joy,0.1185201999164179
"referendum, municipal98, media",None of Them,0.15075789962
"referendum, municipal98, media",Pride,0.07789327995821918
"referendum, municipal98, media",Sadness,0.08139103295714285
"referendum, reelection",Anger,0.30459073629558825
"referendum, reelection",Disgust,0.09981866372727273
"referendum, reelection",Enthusiasm,0.5955421276330275
"referendum, reelection",Fear,0.14732471491836735
"referendum, reelection",Hope,0.0851888931600939
"referendum, reelection",Joy,0.1554599935
"referendum, reelection",None of Them,0.18743909208474577
"referendum, reelection",Pride,0.08970216122669902
"referendum, reelection",Sadness,0.076097297397351
"referendum, reelection, media, state_capture",Anger,0.37836595189921507
"referendum, reelection, media, state_capture",Disgust,0.058903699134146344
"referendum, reelection, media, state_capture",Enthusiasm,0.5700208599783505
"referendum, reelection, media, state_capture",Fear,0.11918417023728814
"referendum, reelection, media, state_capture",Hope,0.08440090941111111
"referendum, reelection, media, state_capture",Joy,0.11500023957272727
"referendum, reelection, media, state_capture",None of Them,0.20466139129411764
"referendum, reelection, media, state_capture",Pride,0.08452321675932642
"referendum, reelection, media, state_capture",Sadness,0.05017018112745098
"referendum, reelection, safety",Anger,0.3390459408649547
"referendum, reelection, safety",Disgust,0.079414056
"referendum, reelection, safety",Enthusiasm,0.5575607187712177
"referendum, reelection, safety",Fear,0.13253096451612903
"referendum, reelection, safety",Hope,0.11201851445791855
"referendum, reelection, safety",Joy,0.17716806282528735
"referendum, reelection, safety",None of Them,0.18937269728
"referendum, reelection, safety",Pride,0.12409096668660714
"referendum, reelection, safety",Sadness,0.06591026094525547
"referendum, reelection, state_capture",Anger,0.3958571021439394
"referendum, reelection, state_capture",Disgust,0.1858314475
"referendum, reelection, state_capture",Enthusiasm,0.5807494981287878
"referendum, reelection, state_capture",Fear,0.056867752
"referendum, reelection, state_capture",Hope,0.07397462527580645
"referendum, reelection, state_capture",Joy,0.2142516764117647
"referendum, reelection, state_capture",None of Them,0.12284324267692308
"referendum, reelection, state_capture",Pride,0.08573046777123287
"referendum, reelection, state_capture",Sadness,0.11971156842857143
safety,Anger,0.2422126893500571
safety,Disgust,0.1581073716825397
safety,Enthusiasm,0.5129420472738565
safety,Fear,0.17344911415380876
safety,Hope,0.11002575948057909
safety,Joy,0.1548516415106504
safety,None of Them,0.20367424353924052
safety,None of them,0.6345979281372962
safety,Pride,0.13367231022714607
safety,Sadness,0.1121951797657265
"safety, state_capture",Anger,0.215771727204023
"safety, state_capture",Disgust,0.06862175633333334
"safety, state_capture",Enthusiasm,0.58000112375
"safety, state_capture",Fear,0.18201311540384615
"safety, state_capture",Hope,0.157239876144
"safety, state_capture",Joy,0.1703359745943396
"safety, state_capture",None of Them,0.2982960350428571
"safety, state_capture",Pride,0.1470332547031111
"safety, state_capture",Sadness,0.06848329106896552
state_capture,Anger,0.27240614890009013
state_capture,Disgust,0.09004969967405063
state_capture,Enthusiasm,0.5277807012930266
state_capture,Fear,0.1510541893321503
state_capture,Hope,0.095594154541717
state_capture,Joy,0.15647895571537784
state_capture,None of Them,0.2149642907579284
state_capture,None of them,0.6849503503275862
state_capture,Pride,0.11430624466579045
state_capture,Sadness,0.09297810775329429
wiese,Anger,0.2353412296684574
wiese,Disgust,0.10967568696551724
wiese,Enthusiasm,0.2760275691603065
wiese,Fear,0.12663653870361447
wiese,Hope,0.08435871074733334
wiese,Joy,0.14942162319707114
wiese,None of Them,0.1382673971153846
wiese,None of them,0.6543355159264332
wiese,Pride,0.11113990799892473
wiese,Sadness,0.08340326235950617
