Chronological order	Codigo	Fecha de exhibición	Fecha de recepción	Fecha del evento	Tipo de información	Titulo	Read?	Duplicates?	In book? (Y / N)	If yes: Tomo/Chapter	Moved to modified transcript folder?			
88	1420	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
89	1411	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
90	1421	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
91	1410	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
92	1413	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
93	1412	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
94	1419	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
95	1418	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.14	X	BLANK CHAPTER IN BOOK		
96	1415	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.14	X	BLANK CHAPTER IN BOOK		
97	1416	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.14	X	BLANK CHAPTER IN BOOK		
98	1417	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X				X			
99	1460	2/22/01	2/21/01	4/7/1999	video	JOY WAY - DELGADO PARKER - DR.	X		Y	1/ 2.7	X			
100	1459	2/22/01	2/21/01	4/7/1999	video	JOY WAY - DELGADO PARKER - DR.	X	duplicate of 1460	Y	1/ 2.7	X			
101	1488	3/13/01	3/5/01	4/21/1999	video	SR. GENARO DELGADO PARKER - DR. MONTESINOS TORRES	X	blank			X			
102	1487	3/13/01	3/5/01	4/21/1999	video	SR. GENARO DELGADO PARKER - DR. MONTESINOS TORRES	X		Y	1/ 2.8	X			
103	1568	5/11/01	4/10/01	6/12/1999	video	DR. LUIS BEDOYA DE VIVANCO - SR. RE√ÅTEGUI - DR. MONTESINOS	X		Y	3/ 5.19	X			
104	1569	5/11/01	4/10/01	6/12/1999	video	DR. LUIS BEDOYA DE VIVANCO - SR. RE√ÅTEGUI - DR. MONTESINOS	X	duplicate of 1568	Y	3/ 5.19	X			
105	1574	2/16/01	2/13/01	6/14/1999	video	REUNION DR - CMDTES GRALES - DIONISIO ROMERO	x		Y	1/ 1.6	X			
106	1575	2/16/01	2/13/01	6/14/1999	video	REUNION DR - CMDTES GRALES - DIONISIO ROMERO	x	duplicate of 1574	Y	1/ 1.6	X			
107	1601	5/11/01	4/10/01	7/5/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	X		Y	3/ 5.21	X			
108	1602	5/11/01	4/10/01	7/5/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	X	duplicate of 1601	Y	3/ 5.21	X			
109	1577	5/11/01	4/10/01	6/17/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	x		Note: the original date was incorrect; 07/17/98 is the correct date.		X			
110	1578	5/11/01	4/10/01	6/17/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	x	duplicate of 1577	Note: the original date was incorrect; 07/17/98 is the correct date.		X			
111	1604	6/30/01	5/22/01	7/19/1999	video	DOCTOR MONTESINOS TORRES - EMBAJADOR - GENERAL EP VILLANUEVA RUESTA - GENERAL EP BERGAMINO	x				X			
112	1605	6/30/01	5/22/01	7/19/1999	video	DOCTOR MONTESINOS TORRES - EMBAJADOR - GENERAL EP VILLANUEVA RUESTA - GENERAL EP BERGAMINO	x	duplicate of 1604	Y	5/ 8.19	X			
113	1609	7/9/01	5/28/01	7/19/1999	audio	REUNI√ìN DR. - CROUSILLAT - SR. WO - SR. BERTINI	x	blank			X			
